title,sentiment,Sentiment_Score
Trump’s tariffs on lumber come at a terrible time for the U.S. housing market. Here’s why,Negative,0
Apple is becoming a utility. That's hard for fanboys to take.,Negative,0
She took down Intel. Now AMD's CEO has a new miracle to perform.,Positive,1
Inside the stock contest a $23 billion hedge fund uses to recruit interns,Neutral,0
One of Tesla's biggest bulls is undeterred and calling for the stock to rally 800% over 5 years,Neutral,0
Pinterest jumps on Guggenheim upgrade to Buy from Neutral,Neutral,0
Energy Transfer LP (ET) Suffers a Larger Drop Than the General Market: Key Insights,Negative,0
"Consumer sentiment sours amid trade war, recession fears: Survey",Negative,0
The stock market's fate all depends on tariffs,Neutral,0
Stock investors had better hope these Americans keep propping up the economy,Positive,1
"Tesla 'armageddon,' a 'legion' of Optimus robots, and no mention of DOGE: 5 takeaways from Elon Musk's livestream",Negative,0
"Investors are in a 'frenzy' to buy secondary shares in Anduril, but good luck getting ahold of shares",Positive,1
What Nvidia’s market valuation says about where the stock will be in 5 years,Neutral,0
"AMD Unleashes the Radeon RX 9070 GPUs, With the 9070 XT at $600",Neutral,0
PayPal Holdings (PYPL): Among the Most Undervalued NASDAQ Stocks to Buy According to Hedge Funds,Neutral,0
Has Tesla stock hit bottom? Here’s what the options market is saying.,Neutral,0
Ray Dalio has a new gig very far from home: advising an upstart $900 billion fund,Neutral,0
"Dow Jones Futures: Stock Market On Cusp Of Bullish Signal, What You Should Do Now",Neutral,0
Tesla just got even more bad news from Europe,Negative,0
"Trump announces 25% tariffs on imported cars, ratcheting up global trade war",Negative,0
Add Australia to the list of countries where Tesla sales are sliding,Neutral,0
The stock-market selloff isn’t over yet. Here are 4 reasons why.,Neutral,0
"On the anniversary of the dot-com bubble bursting, is history repeating itself?",Neutral,0
4 reasons why Elon Musk should worry about Tesla in China,Negative,0
Why investors who fear a recession and the end of ‘American exceptionalism’ may be overreacting,Negative,0
Opera (NasdaqGS:OPRA) Launches AI-Driven Browser Operator Transforming User Experience and Privacy,Neutral,0
Stock Market Volatility: Should We Really Keep Calm and Carry On?,Positive,1
Rigetti Computing (NasdaqCM:RGTI) Soars 57% Following US$35M Private Placement Announcement,Neutral,0
Fed Pauses Interest Rate Cuts. Where Do Mortgage Rates Go From Here?,Positive,1
Analyst Says Pfizer (PFE) Stock Will ‘Move Too Fast to Catch’,Neutral,0
Why The AI Industry Is Largely Unmoved By Trump’s Tariff Threats,Negative,0
Trade Desk (NasdaqGM:TTD) Drops 10% After Securities Fraud Class Action Lawsuit News,Negative,0
Competitors are circling Southwest after the airline announced it's going to start charging for checked bags,Neutral,0
"Robinhood Gets Into the Betting Business, Launches Prediction Market",Neutral,0
Dealmaking slumps over Trump's tariff turmoil. 'It's almost as bad as Covid.',Negative,0
Even AMD is surprised by how fast it’s gaining on Nvidia,Positive,1
"6 Reasons Home Prices Won't Go Down, According to This Realtor",Neutral,0
U.S. stocks bounced back on tariff relief. How to protect your portfolio from more volatility.,Positive,1
"China's capital city is making AI education mandatory, even for elementary schoolers",Positive,1
Hudson River Trading has quietly built a $8 billion global powerhouse,Neutral,0
Nvidia stock trades below 200-day moving average: What that means,Neutral,0
Anthropic's product chief said DeepSeek had 'almost no impact' on the $61.5 billion company's strategy,Negative,0
Canopy Growth’s stock falls to all-time low on pot company’s share-sale plans,Negative,0
Tesla has flirted with disaster before. This time feels different.,Negative,0
This is why AST SpaceMobile’s stock is skyrocketing again,Neutral,0
4 Best Cars To Buy During Trump’s 1-Month Tariff Break for Vehicles,Positive,1
"AMD Radeon RX 9070 XT Is So Good, It May Help You Forget About Multi-Frame Gen",Positive,1
Pressure is ramping up in Big Tech. Employees told BI how they feel about it.,Negative,0
"Stock market today: Dow, S&P 500, Nasdaq futures divert after tough week as Bessent dismisses sell-off",Negative,0
Warren Buffett is now richer than Bill Gates after $18 billion wealth gain this year,Positive,1
The Nasdaq is on track for a correction as the tariff-induced stock-market selloff continues. Watch these levels.,Neutral,0
The Golden Age of private equity is over. Here is what it means for your career.,Neutral,0
4 Fidelity Mutual Funds to Buy Amid Market Uncertainty,Negative,0
Tesla (NasdaqGS:TSLA) Climbs 13% On Rumors Of Potential Deal With Nissan,Neutral,0
Rigetti Computing (NasdaqCM:RGTI) Skyrockets 109% Despite US$153 Million Net Loss,Negative,0
